sku;daily_limit;status_before_batch
20210232/9ПОЛУПАРА#1;300;TO_CREATE
20210232/9ППОЛУПАРА#1;300;TO_CREATE
2020488/1П#1;300;TO_CREATE
2020488/1#1;300;TO_CREATE
2049604/91П#4;300;TO_CREATE
2049604/91#3;300;TO_CREATE
2049604/91П#2;300;TO_CREATE
2049604/91#2;300;TO_CREATE
2049604/91#1;300;TO_CREATE
2049604/91#4;300;TO_CREATE
2049604/91П#5;300;TO_CREATE
2049604/91П#1;300;TO_CREATE
2049604/91П#3;300;TO_CREATE
2049604/91#5;300;TO_CREATE
2029847/9П#1;300;TO_CREATE
2029847/9#1;300;TO_CREATE
20210247/9П#1;300;TO_CREATE
21211543/9#1;300;TO_CREATE
21210689/9#1;300;ALREADY_CREATED_MANUALLY
2029468/9#1;300;TO_CREATE
2029468/9П#1;300;TO_CREATE
21210689/9П#1;300;TO_CREATE
21210277/9#1;300;TO_CREATE
21210277/9П#1;300;TO_CREATE
21210430/9#1;300;TO_CREATE
20210151/9#1;300;TO_CREATE
20210151/9П#1;300;TO_CREATE
2029910/9БГ#1;300;TO_CREATE
2029910/9ПБГ#1;300;TO_CREATE
2029910/9ПЧГ#1;300;TO_CREATE
2029910/9ЧГ#1;300;TO_CREATE
2029883/9#1;300;TO_CREATE
2029883/9П#1;300;TO_CREATE
2829086/9#1;300;TO_CREATE
2829086/9П#1;300;TO_CREATE
132799;300;TO_CREATE
